Food_items,VegNovVeg,Junk Food,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars,Link
Asparagus Cooked,0,0,22,0.2,2.4,0.91,23.0,14.0,224.0,4.1,2.0,0.0,1.3,https://tse1.mm.bing.net/th/id/OIP.JiunioH6eDMEIJtRat5dowAAAA?r=0&rs=1&pid=ImgDetMain
Boiled Egg,1,0,155,10.0,12.0,1.2,50.0,124.0,126.0,1.1,0.0,2.2,1.1,https://steamykitchen.com/wp-content/uploads/2023/10/soft-boiled-eggs-yolk.jpeg
Fried Egg,1,0,196,14.8,13.0,1.9,62.0,207.0,152.0,0.9,0.0,2.2,0.4,https://bing.com/th?id=OSK.53089988fc3e045aef79cb8ae419817d
Bagels made in wheat,0,1,250,1.5,10.0,2.76,20.0,439.0,165.0,49.0,4.1,0.0,6.1,https://th.bing.com/th/id/OIP.-x7drBY85kA0GyPcnUBhmQHaHi?rs=1&pid=ImgDetMain
Brocolli,0,0,25,0.5,3.8,1.27,118.0,56.0,343.0,3.1,2.8,0.0,0.6,https://th.bing.com/th/id/OIP.zeKqXlUZor5fT88s0IVDhQHaEm?rs=1&pid=ImgDetMain
Brown Rice,0,0,362,2.7,7.5,1.8,33.0,4.0,268.0,76.0,3.4,0.0,0.0,https://th.bing.com/th/id/OIP.qnqr2ovVMB6HuQ05-Fwp0wHaHa?rs=1&pid=ImgDetMain
Cauliflower,0,0,32,0.3,3.0,0.72,32.0,259.0,278.0,6.3,3.3,0.0,0.0,https://th.bing.com/th/id/OIP.lQ9sBnPaLzGPbkdQgJ-DqwHaE8?rs=1&pid=ImgDetMain
Corn,0,0,97,1.4,3.3,0.55,2.0,253.0,3.3,22.0,2.7,0.0,7.7,https://th.bing.com/th/id/OIP.TjPm7I6kuJer0_Xh0KTEVAHaE7?rs=1&pid=ImgDetMain
Dark chocolates,0,1,556,32.0,5.5,2.13,30.0,6.0,502.0,60.0,6.5,0.0,48.0,https://th.bing.com/th/id/OIP.jV9pQwMfwbIQcn0I82deTQHaEK?o=7rm=3&rs=1&pid=ImgDetMain
Milk,0,0,97,6.9,3.8,0.12,169.0,52.0,178.0,5.2,0.0,0.0,0.0,https://th.bing.com/th/id/OIP.i6v-8j3Rgpr0pzE6nnBGRwHaLH?rs=1&pid=ImgDetMain
